NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county
"Stark County, North Dakota",0500000US38089,23973,38.9,22847,194,232,264,31,178,10638,9793,7036,2757,5037,37,38,65,343,576,3978,130000,28,23188,2151,26678,218,54269,17957,5435,65,14923,14220,12017,3090,38,089
"Steele County, North Dakota",0500000US38091,1962,46.3,1957,0,0,0,0,2,1163,836,681,155,272,16,13,3,23,6,211,65500,9,1960,73,30038,34,49485,1590,348,10,1096,1072,954,186,38,091
"Stutsman County, North Dakota",0500000US38093,20973,42.4,20086,64,324,82,0,126,9846,8574,5831,2743,4747,54,48,131,496,787,3231,92800,4,19379,2154,24653,154,46317,15815,4823,53,13063,12550,10903,3001,38,093
"Towner County, North Dakota",0500000US38095,2259,48.2,2148,3,21,17,0,0,1409,992,790,202,410,42,0,31,23,76,238,53000,10,2211,217,26385,40,47703,1925,288,7,1227,1201,1092,280,38,095
"Traill County, North Dakota",0500000US38097,8172,42.3,7906,35,69,30,0,64,3775,3375,2535,840,1713,32,28,20,149,325,1159,90100,7,7853,689,24725,36,48341,5981,1939,57,4834,4696,4000,1203,38,097
"Walsh County, North Dakota",0500000US38099,11196,45.4,10429,20,200,45,0,433,5509,4825,3618,1207,2131,44,29,96,119,399,1444,66000,0,10995,1129,25377,79,46453,8973,1951,52,6365,5852,5613,1107,38,099
"Ward County, North Dakota",0500000US38101,60667,33.2,55036,1362,1452,549,74,461,26574,24453,15720,8733,18465,44,44,286,903,1804,15384,124300,20,58535,5924,26026,508,51081,38935,19535,847,38602,36629,29934,8695,38,101
"Wells County, North Dakota",0500000US38103,4242,50.2,4204,0,2,0,4,0,2482,2032,1494,538,935,34,17,87,104,89,604,55600,13,4140,450,26145,61,42035,3368,813,14,2259,2232,2052,514,38,103
"Williams County, North Dakota",0500000US38105,22046,39.3,20266,8,1038,86,15,163,10347,9273,6563,2710,5287,13,46,149,314,749,4016,110000,36,21664,1812,31822,367,62082,15775,5804,33,13635,13329,11618,2487,38,105
"Adams County, Ohio",0500000US39001,28551,39.5,27916,66,65,3,0,17,12927,10905,7873,3032,7241,148,121,432,663,1255,4622,95800,38,28266,6450,18182,91,34232,22875,5543,37,17155,16771,14954,1811,39,001
"Allen County, Ohio",0500000US39003,106468,38.1,88925,12617,262,740,0,1015,45048,40703,28507,12196,29301,113,142,640,1909,4001,22496,105400,65,101989,18378,21878,597,43323,86158,17845,546,65193,62921,53841,9172,39,003
"Ashland County, Ohio",0500000US39005,53331,39.4,51818,433,151,317,30,149,22116,20125,15725,4400,10642,47,12,453,675,1635,7820,126500,65,50993,7439,21758,306,45641,44191,7926,192,32206,30784,26551,5207,39,005
"Ashtabula County, Ohio",0500000US39007,101676,40.9,94877,3640,170,278,0,634,46064,38771,28214,10557,25429,270,228,372,2044,4226,18289,116600,125,98098,16852,20030,329,41501,77724,21368,1254,61727,58414,53825,7477,39,007
"Athens County, Ohio",0500000US39009,64562,26.3,59360,1860,53,1857,0,234,26259,22496,12776,9720,22807,59,66,121,1076,1938,19547,117400,41,55557,17515,17312,363,33546,46551,15148,350,47738,45306,27042,8186,39,009
"Auglaize County, Ohio",0500000US39011,45986,39.7,45057,137,106,159,24,66,19545,18297,13889,4408,9906,146,124,265,902,1306,7163,124700,57,45257,3254,26323,314,52838,39427,5992,145,27283,26684,23780,4279,39,011
"Belmont County, Ohio",0500000US39013,70346,43.3,66018,2544,32,255,31,170,32403,28747,21545,7202,14901,157,132,709,895,3441,9567,86500,67,66449,9404,21129,203,39712,37831,31703,165,44030,43198,38197,5671,39,013
"Brown County, Ohio",0500000US39015,44688,39.4,43665,369,47,35,0,142,19158,16112,12867,3245,8536,194,49,101,679,1577,5936,124200,60,44134,5386,20433,136,46046,35983,8505,122,27262,26650,23829,2719,39,015
"Butler County, Ohio",0500000US39017,366167,35.9,319056,26282,682,8910,274,4038,147758,135104,95795,39309,95249,397,605,1347,5103,12472,75325,160400,456,353575,45335,26397,3692,55497,255935,88788,2608,231919,215143,190959,54628,39,017
"Carroll County, Ohio",0500000US39019,28913,42.8,28353,181,31,17,0,34,13665,11485,9282,2203,5567,115,61,191,556,967,3677,112000,67,28584,3960,21772,97,43323,24571,4036,157,17593,17107,15539,2112,39,019
"Champaign County, Ohio",0500000US39021,40092,39.5,38112,805,38,127,9,141,16753,15278,11386,3892,9755,14,52,102,816,1598,7173,123000,65,39302,5924,23093,227,48335,33241,6182,217,24234,23646,20954,3384,39,021
"Clark County, Ohio",0500000US39023,138782,40.3,120519,12171,255,825,0,1608,61462,54771,38254,16517,40707,289,367,971,2903,5963,30214,110400,170,135054,22844,22434,768,44037,108051,26968,665,83576,80179,71085,12687,39,023
