NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_001E,B19001_017E,B19013_001E,B05002_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,state,county,tract
"Census Tract 3, Coconino County, Arizona",1400000US04005000300,6873,27.9,3268,241,1021,79,1,2005,2484,2327,836,1491,4594,4205,183000,836,0,6766,2454,16707,2327,11,36355,6873,3215,2306,40,4555,2838,4594,9,0,0,50,330,4205,04,005,000300
"Census Tract 4, Coconino County, Arizona",1400000US04005000400,5503,33.0,3729,174,650,53,0,685,1888,1802,1209,593,2326,1784,267300,1209,0,5420,743,22913,1802,41,53396,5503,2795,2260,194,3515,2821,2326,58,0,0,80,404,1784,04,005,000400
"Census Tract 5, Coconino County, Arizona",1400000US04005000500,4431,30.5,2292,51,1252,37,0,538,1438,1312,1000,312,1270,856,199600,1000,0,4424,845,18806,1312,6,51786,4431,2638,1546,0,2737,2133,1270,0,0,0,31,383,856,04,005,000500
"Census Tract 6, Coconino County, Arizona",1400000US04005000600,5728,38.6,4718,31,801,47,10,56,3303,2274,1367,907,2377,1683,439600,1367,69,5725,372,37962,2274,168,77788,5728,2762,2490,76,3696,3169,2377,0,0,75,12,607,1683,04,005,000600
"Census Tract 7, Coconino County, Arizona",1400000US04005000700,3630,30.5,3245,1,261,86,11,26,1781,1490,787,703,1657,1499,310400,787,10,3630,542,33108,1490,53,66461,3630,1589,1704,61,2679,2482,1657,0,0,28,10,120,1499,04,005,000700
"Census Tract 8, Coconino County, Arizona",1400000US04005000800,3583,23.3,2694,134,377,25,11,162,1374,1213,177,1036,2926,2500,214400,177,3,3319,1364,14263,1213,9,28327,3583,1578,1706,81,3211,2761,2926,0,0,0,96,330,2500,04,005,000800
"Census Tract 9, Coconino County, Arizona",1400000US04005000900,6772,24.6,5720,152,257,140,14,236,3421,2704,1159,1545,3444,3085,367600,1159,16,6731,1425,27159,2704,59,49181,6772,2755,3472,54,4923,4519,3444,0,0,12,66,281,3085,04,005,000900
"Census Tract 10, Coconino County, Arizona",1400000US04005001000,8058,19.9,5824,347,811,339,0,224,834,762,18,744,2036,1948,125000,18,0,2086,1344,5623,762,0,20920,8058,3476,4050,118,7534,6469,2036,0,0,0,0,88,1948,04,005,001000
"Census Tract 11.01, Coconino County, Arizona",1400000US04005001101,4919,33.6,3862,68,491,121,0,214,2041,1836,1279,557,1699,1601,329200,1279,0,4919,479,31385,1836,25,68841,4919,2411,2078,103,3238,2717,1699,0,0,0,0,98,1601,04,005,001101
"Census Tract 11.02, Coconino County, Arizona",1400000US04005001102,6984,25.8,4903,5,805,479,0,585,3294,2977,1044,1933,4292,3589,201300,1044,0,6925,1507,21081,2977,35,39886,6984,2805,2877,110,5263,3889,4292,0,0,69,165,469,3589,04,005,001102
"Census Tract 12, Coconino County, Arizona",1400000US04005001200,2497,35.3,2106,41,149,56,0,82,1416,1301,455,846,1486,1257,342500,455,0,2497,542,30008,1301,10,39855,2497,932,1435,17,2027,1817,1486,0,47,49,16,117,1257,04,005,001200
"Census Tract 13.01, Coconino County, Arizona",1400000US04005001301,6345,36.8,4871,52,1133,0,0,199,2331,2127,1806,321,589,392,374800,1806,100,6343,570,29951,2127,134,77580,6345,3363,2759,164,3870,3178,589,0,0,0,0,197,392,04,005,001301
"Census Tract 13.02, Coconino County, Arizona",1400000US04005001302,5443,36.2,4675,20,147,15,15,571,2347,2026,1743,283,522,273,272500,1743,27,5442,659,26189,2026,0,59871,5443,2522,2558,192,3619,3209,522,0,0,0,92,157,273,04,005,001302
"Census Tract 15, Coconino County, Arizona",1400000US04005001500,3348,45.0,3057,0,156,0,0,23,7635,1422,1212,210,420,298,241800,1212,0,3287,408,23874,1422,11,56951,3348,1178,2069,33,2128,1965,420,0,0,99,0,23,298,04,005,001500
"Census Tract 16, Coconino County, Arizona",1400000US04005001600,3084,58.3,2996,32,1,8,0,0,2410,1671,1116,555,1045,812,590400,1116,129,3076,396,49595,1671,215,50273,3084,410,2380,38,1902,1691,1045,0,28,25,78,102,812,04,005,001600
"Census Tract 17, Coconino County, Arizona",1400000US04005001700,3296,37.9,2366,65,73,18,0,720,1729,1258,826,432,1277,971,173200,826,0,3293,622,20021,1258,0,44444,3296,1436,1432,13,2015,1457,1277,0,0,24,58,224,971,04,005,001700
