NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_010E,B25077_001E,B25075_025E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 9674, Windham County, Vermont",1400000US50025967400,945,44.8,945,0,0,0,0,0,1054,388,326,62,146,92,246000,11,945,104,23273,8,48571,436,479,0,554,549,509,170,50,025,967400
"Census Tract 9675, Windham County, Vermont",1400000US50025967500,903,41.9,849,6,0,0,2,0,2323,387,320,67,102,56,215100,1,903,68,24884,10,41250,386,502,3,566,566,528,124,50,025,967500
"Census Tract 9676, Windham County, Vermont",1400000US50025967600,3183,44.6,3038,0,26,17,0,0,1438,1373,1092,281,540,361,169300,8,3132,228,30428,11,56492,1266,1767,38,2130,2018,1958,565,50,025,967600
"Census Tract 9677, Windham County, Vermont",1400000US50025967700,2688,34.7,2617,7,2,7,2,1,1065,964,673,291,619,463,235800,5,2280,170,24579,19,57614,998,1645,14,1946,1865,1304,532,50,025,967700
"Census Tract 9678, Windham County, Vermont",1400000US50025967800,1659,50.0,1619,3,2,2,0,13,1065,761,638,123,231,201,207000,0,1651,116,30789,14,60114,506,1089,19,1042,1009,968,476,50,025,967800
"Census Tract 9679, Windham County, Vermont",1400000US50025967900,1358,49.2,1358,0,0,0,0,0,3097,657,530,127,256,218,275900,7,1358,84,34169,27,51033,381,881,66,879,859,796,398,50,025,967900
"Census Tract 9680, Windham County, Vermont",1400000US50025968000,2124,49.3,2054,20,0,17,0,0,2438,1007,710,297,576,374,233300,0,2112,128,33383,22,60236,668,1386,6,1512,1459,1358,451,50,025,968000
"Census Tract 9681, Windham County, Vermont",1400000US50025968100,1286,41.1,1268,0,0,2,0,0,892,544,460,84,199,166,214300,0,1286,158,25175,6,54028,564,674,0,762,760,682,138,50,025,968100
"Census Tract 9682, Windham County, Vermont",1400000US50025968200,1915,40.7,1756,58,10,6,49,3,1100,748,625,123,207,141,205500,3,1622,155,29880,24,44500,511,1304,10,1341,1296,1003,401,50,025,968200
"Census Tract 9683, Windham County, Vermont",1400000US50025968300,1993,47.8,1944,7,0,12,0,13,908,831,675,156,314,271,236500,6,1993,89,30515,41,60195,942,973,25,1160,1071,1098,543,50,025,968300
"Census Tract 9684, Windham County, Vermont",1400000US50025968400,4272,48.1,3861,107,20,121,0,14,2161,1955,1393,562,969,432,217900,0,4272,621,29577,41,43984,1653,2301,0,2522,2294,2310,992,50,025,968400
"Census Tract 9685, Windham County, Vermont",1400000US50025968500,5205,42.3,4796,38,14,88,0,34,2961,2575,1055,1520,2540,1546,177200,0,5026,834,23145,16,37620,1841,3005,117,3273,3022,2951,1188,50,025,968500
"Census Tract 9686, Windham County, Vermont",1400000US50025968600,2554,42.3,2406,63,5,24,27,1,1232,1184,674,510,872,640,241400,0,2330,183,30751,30,53276,949,1480,0,1833,1773,1442,699,50,025,968600
"Census Tract 9687, Windham County, Vermont",1400000US50025968700,4250,45.2,4165,18,0,32,3,10,1892,1751,1320,431,811,576,202200,11,4188,274,28650,40,60771,2035,2006,55,2725,2658,2403,794,50,025,968700
"Census Tract 9650, Windsor County, Vermont",1400000US50027965000,3433,41.3,3303,14,5,61,0,0,1704,1494,1056,438,790,669,423000,11,3433,180,46272,139,87833,428,2729,49,2114,1984,2027,1489,50,027,965000
"Census Tract 9651, Windsor County, Vermont",1400000US50027965100,2758,40.4,2634,53,0,59,0,0,1492,1336,853,483,822,759,165600,3,2728,433,22603,14,35395,1114,1562,3,1969,1945,1669,663,50,027,965100
"Census Tract 9652, Windsor County, Vermont",1400000US50027965200,2832,49.8,2713,0,0,45,0,34,1836,1354,1089,265,461,296,190000,3,2811,209,27408,16,51802,1172,1552,12,1739,1698,1541,525,50,027,965200
"Census Tract 9653, Windsor County, Vermont",1400000US50027965300,224,52.3,211,0,2,0,2,0,158,144,45,99,125,77,167200,0,223,68,17530,0,25500,142,73,3,95,82,75,36,50,027,965300
"Census Tract 9654, Windsor County, Vermont",1400000US50027965400,4393,42.8,4319,9,20,7,4,13,2501,1761,1398,363,925,721,270000,66,4344,451,30218,92,58554,1147,3094,30,2605,2547,2393,966,50,027,965400
"Census Tract 9655.01, Windsor County, Vermont",1400000US50027965501,3002,45.2,2682,63,8,27,0,0,2294,1253,839,414,973,941,254200,18,3002,306,39549,97,61932,535,2288,50,1917,1805,1586,963,50,027,965501
"Census Tract 9655.02, Windsor County, Vermont",1400000US50027965502,3033,34.8,2861,32,0,46,0,0,1512,1431,743,688,1446,1287,237000,12,2974,355,26024,0,52621,386,2549,14,1991,1883,1802,867,50,027,965502
"Census Tract 9656, Windsor County, Vermont",1400000US50027965600,3960,46.3,3666,20,0,99,0,67,2165,1973,1269,704,1093,868,195100,0,3960,318,28968,16,48144,676,3034,61,2803,2657,2659,734,50,027,965600
"Census Tract 9657, Windsor County, Vermont",1400000US50027965700,3373,45.5,3347,0,3,0,0,0,1601,1411,1161,250,372,286,275300,44,3361,155,32133,47,63147,709,2536,22,2165,2071,1932,593,50,027,965700
"Census Tract 9658, Windsor County, Vermont",1400000US50027965800,3070,52.0,3047,0,3,5,0,0,1814,1361,1061,300,554,340,361000,108,3049,152,42657,120,77863,477,2510,12,1630,1599,1497,765,50,027,965800
"Census Tract 9659, Windsor County, Vermont",1400000US50027965900,2987,47.5,2968,0,7,7,0,0,2630,1300,1083,217,448,228,310000,60,2982,116,33921,50,60887,947,1972,17,1761,1728,1620,566,50,027,965900
"Census Tract 9660, Windsor County, Vermont",1400000US50027966000,3575,43.7,3496,17,24,0,0,19,1663,1372,799,573,1247,1005,167900,0,3272,492,23420,27,48095,1067,2435,36,2242,2190,1744,365,50,027,966000
"Census Tract 9661, Windsor County, Vermont",1400000US50027966100,2829,46.4,2802,26,0,0,0,0,1349,1184,1065,119,270,83,185300,27,2804,142,31366,44,62029,1125,1606,19,1719,1667,1482,403,50,027,966100
"Census Tract 9662, Windsor County, Vermont",1400000US50027966200,1657,44.6,1596,0,0,13,0,13,1043,690,516,174,423,334,179300,4,1617,174,21994,6,42400,849,745,4,980,924,896,214,50,027,966200
"Census Tract 9663, Windsor County, Vermont",1400000US50027966300,2156,45.0,2106,1,6,12,0,4,3275,939,651,288,529,310,248900,14,2107,253,26605,24,46094,1198,881,35,1377,1344,1190,342,50,027,966300
"Census Tract 9665, Windsor County, Vermont",1400000US50027966500,4161,51.2,4097,2,26,22,0,0,2814,1968,1416,552,929,657,201600,14,4152,508,33116,92,46780,2096,1896,66,2553,2510,2342,648,50,027,966500
"Census Tract 9666, Windsor County, Vermont",1400000US50027966600,5072,42.4,4795,1,36,24,0,107,2291,2189,1513,676,1428,1255,154900,0,4956,1024,23989,57,44365,2488,2419,54,3006,2837,2798,563,50,027,966600
"Census Tract 9667, Windsor County, Vermont",1400000US50027966700,4271,45.0,4063,37,16,8,0,3,1905,1703,1257,446,974,828,152800,0,3943,392,24058,35,47679,1956,2169,45,2817,2728,2577,602,50,027,966700
