NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county,tract
"Census Tract 103.06, Multnomah County, Oregon",1400000US41051010306,4998,34.7,4030,211,68,302,0,296,1734,1673,1062,611,1912,11,112,14,568,862,345,241500,0,0,7,4867,1016,26709,54,59266,2772,1510,39,3247,2624,2828,649,41,051,010306
"Census Tract 104.02, Multnomah County, Oregon",1400000US41051010402,6566,36.2,5994,39,18,308,4,174,2272,2201,1705,496,1388,0,0,38,310,645,395,343200,52,24,14,6528,271,29621,125,73250,4056,1892,99,4181,3714,3540,1008,41,051,010402
"Census Tract 104.05, Multnomah County, Oregon",1400000US41051010405,6017,36.2,5128,155,100,195,17,4,2386,2274,1030,1244,3003,0,31,0,891,2005,76,217800,0,0,0,5943,748,22147,0,47235,3135,1608,0,3788,2586,3104,652,41,051,010405
"Census Tract 104.07, Multnomah County, Oregon",1400000US41051010407,5744,34.5,4943,148,149,105,0,160,1969,1863,1241,622,1979,8,0,108,92,1474,297,229800,0,0,15,5594,1045,26789,75,65346,3296,1946,10,3460,2856,2838,494,41,051,010407
"Census Tract 104.08, Multnomah County, Oregon",1400000US41051010408,6098,34.2,5246,41,119,115,0,144,2100,2100,1187,913,2301,0,0,77,784,1321,119,216400,0,0,0,6028,918,21253,21,54538,3012,1980,104,4075,2933,3430,535,41,051,010408
"Census Tract 104.09, Multnomah County, Oregon",1400000US41051010409,8511,36.5,7293,405,0,292,48,121,3036,2794,1781,1013,3039,0,0,0,854,1886,299,264600,0,0,0,8379,645,26927,45,72128,4321,3427,32,5236,4604,4558,1336,41,051,010409
"Census Tract 104.10, Multnomah County, Oregon",1400000US41051010410,4764,30.6,3691,185,19,74,0,331,1891,1741,709,1032,2781,0,0,37,408,2130,206,180200,0,0,0,4736,1284,18522,0,41010,2677,1593,131,3231,2692,2467,401,41,051,010410
"Census Tract 104.11, Multnomah County, Oregon",1400000US41051010411,3098,39.8,2544,89,22,219,15,117,1307,1269,713,556,1350,0,9,39,210,1057,35,181300,9,0,0,3088,629,23498,26,43561,1341,1326,21,1825,1370,1517,213,41,051,010411
"Census Tract 105, Multnomah County, Oregon",1400000US41051010500,3886,49.6,3470,65,84,27,0,0,1567,1444,1211,233,660,12,32,0,140,452,24,345800,0,0,30,3867,333,29455,84,59063,2044,1575,2,2284,2021,1859,672,41,051,010500
"Census Tract 106, Multnomah County, Oregon",1400000US41051010600,2932,50.2,2246,319,34,67,0,45,2028,1924,214,1710,1965,0,18,95,593,1047,212,463100,10,0,0,2462,1125,22323,17,13831,979,1694,21,2391,2074,2017,608,41,051,010600
"Census Tract 9800, Multnomah County, Oregon",1400000US41051980000,0,-666666666.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-666666666,0,0,0,0,0,-666666666,0,-666666666,0,0,0,0,0,0,0,41,051,980000
