NAME,GEO_ID,B01003_001E,B01002_001E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B03003_003E,B02001_007E,B25001_001E,B25003_001E,B25003_002E,B25003_003E,B25026_009E,B25026_015E,B25026_014E,B25026_013E,B25026_012E,B25026_011E,B25026_010E,B25077_001E,B25075_025E,B25075_026E,B25075_027E,B17001_001E,B17001_002E,B19301_001E,B19001_017E,B19013_001E,B05002_003E,B05002_004E,B05002_009E,B16007_008E,B16007_009E,B23006_001E,B23006_023E,state,county
"Cidra Municipio, Puerto Rico",0500000US72041,41782,38.4,33131,2310,128,163,0,41606,5141,16213,13519,9992,3527,10671,892,589,776,3311,4621,482,120000,0,0,0,41619,17471,11107,24,21846,0,1761,39544,26364,544,22127,5882,72,041
"Coamo Municipio, Puerto Rico",0500000US72043,40090,38.7,26428,6264,0,0,0,39847,7130,16380,13609,10447,3162,9693,596,199,837,2117,4969,975,90500,0,0,15,40037,19726,9699,35,18453,0,2239,37574,24752,1043,21073,5110,72,043
"Comerio Municipio, Puerto Rico",0500000US72045,20153,37.8,13695,1173,59,16,0,20061,1745,7625,6249,3987,2262,6734,624,378,745,1982,2577,428,89000,0,0,8,20028,12220,6975,10,13164,0,641,19351,12522,955,10379,1436,72,045
"Corozal Municipio, Puerto Rico",0500000US72047,35484,37.4,25580,1682,0,0,0,35222,2199,13063,11011,8638,2373,7915,219,240,1015,3182,3119,140,93500,35,0,30,35251,19774,7793,22,14733,0,1173,34283,21801,795,18099,3290,72,047
"Culebra Municipio, Puerto Rico",0500000US72049,1508,33.4,758,70,5,15,0,1420,615,1519,509,327,182,488,0,30,22,192,207,37,104800,0,0,5,1484,679,10069,0,20956,0,73,1405,887,32,802,89,72,049
"Dorado Municipio, Puerto Rico",0500000US72051,38013,39.0,29295,4904,0,48,0,37336,1283,15803,12036,9219,2817,8963,278,787,460,2549,4627,262,148600,62,0,15,37949,13587,14504,177,28133,0,2038,35165,23170,1771,19756,6941,72,051
"Fajardo Municipio, Puerto Rico",0500000US72053,33912,39.8,19661,3510,25,180,0,33601,9704,18627,12691,8526,4165,10625,694,222,826,2372,5453,1058,105300,20,0,4,33678,14866,10784,25,19482,0,2986,30330,19692,1010,16169,4198,72,053
"Florida Municipio, Puerto Rico",0500000US72054,12287,37.5,11843,71,0,26,0,12234,294,4919,4305,3200,1105,3455,0,24,37,1677,1525,192,94300,0,0,0,12278,6707,7451,0,16793,0,721,11499,7527,218,6241,813,72,054
"Guanica Municipio, Puerto Rico",0500000US72055,17788,41.3,13817,475,19,0,0,17732,3096,9346,5526,4092,1434,5150,218,172,640,1558,2365,197,90000,0,0,38,17778,11199,7223,21,13242,0,193,17548,10260,705,8549,1587,72,055
"Guayama Municipio, Puerto Rico",0500000US72057,43210,36.9,31769,5491,0,102,0,42807,5224,18819,14879,10944,3935,12222,719,375,856,3469,5995,808,95200,0,0,22,41185,22189,9034,40,15078,0,1915,41116,26627,1192,22126,4836,72,057
"Guayanilla Municipio, Puerto Rico",0500000US72059,20025,39.2,16745,548,124,49,0,19930,2096,8364,6659,4807,1852,5532,460,864,992,1404,1676,136,82600,0,0,0,19952,11725,7864,5,14848,0,856,19095,11905,706,10010,2402,72,059
"Guaynabo Municipio, Puerto Rico",0500000US72061,92444,42.2,71755,4945,360,129,0,91212,9471,40303,34724,25495,9229,23722,1468,809,1885,7133,10619,1808,199100,337,89,122,92073,25064,23834,1634,33979,0,4209,82650,57526,2849,48918,24736,72,061
"Gurabo Municipio, Puerto Rico",0500000US72063,46990,37.7,30863,6501,55,82,0,46291,8397,17568,15473,13079,2394,6693,552,533,405,1443,3218,542,156700,0,0,0,46729,15141,16238,242,31070,0,1771,44676,29706,1377,25115,9724,72,063
"Hatillo Municipio, Puerto Rico",0500000US72065,41327,39.8,40183,304,0,15,0,41250,353,16855,14339,10736,3603,8880,372,167,544,3301,3961,535,112800,0,0,126,41205,18400,10116,0,18480,0,2577,38454,25362,954,21438,6268,72,065
"Hormigueros Municipio, Puerto Rico",0500000US72067,16678,44.6,5945,325,0,75,0,16585,7824,7555,6233,4718,1515,3946,480,74,368,1032,1575,417,109200,20,0,9,16544,6013,11432,7,20589,0,840,15467,9408,784,8023,2297,72,067
"Humacao Municipio, Puerto Rico",0500000US72069,55621,40.4,32215,7256,203,435,0,55003,14662,26899,18763,13936,4827,13938,424,800,667,4034,6895,1118,98300,9,0,8,55045,24941,10994,113,19349,0,3048,52139,33717,1899,28309,7521,72,069
"Isabela Municipio, Puerto Rico",0500000US72071,43919,40.4,30811,2532,109,0,0,43310,9516,20417,15084,9611,5473,15786,2374,764,1674,3493,6927,554,109000,11,0,84,43587,23902,8578,38,15947,0,3960,39552,26966,1286,22782,5259,72,071
"Jayuya Municipio, Puerto Rico",0500000US72073,15605,35.8,13508,114,40,20,0,15580,1267,6231,4720,3128,1592,5883,669,794,516,1942,1632,330,90300,0,0,0,15388,9196,7258,0,15893,0,577,14958,9633,653,7916,1460,72,073
"Juana Diaz Municipio, Puerto Rico",0500000US72075,48658,36.7,25245,5234,8,52,0,48522,4232,18930,16143,12255,3888,11013,613,773,793,2440,5448,946,99000,0,18,19,48191,23218,10053,60,20231,0,2004,46421,29646,1052,24483,6341,72,075
"Juncos Municipio, Puerto Rico",0500000US72077,39942,37.1,25582,1889,7,0,0,39708,12299,15723,12746,9234,3512,11148,293,117,1309,4251,4416,762,116100,19,0,0,39884,19558,9282,9,19084,0,1697,38103,24899,541,20855,5004,72,077
"Lajas Municipio, Puerto Rico",0500000US72079,24323,43.1,14999,474,47,0,0,24294,8261,12107,8375,4525,3850,10747,2074,1437,1228,2335,3344,329,93900,0,0,0,24284,14552,7097,7,12785,0,1586,22497,14278,798,11921,2134,72,079
